pe_primary,personnel_count
0602201F,126
0305282M,50
0601103N,25
0602143A,25
0603506N,25
0601102A,24
0601275A,22
0207147F,21
0604281F,21
0602150A,20
0602303E,19
0601102F,18
0603444F,17
0604707N,16
0605867N,15
0601121A,14
0604289M,14
0603804A,13
0602715E,12
0603766A,11
0604802A,11
0602785A,10
0604134A,10
0604182A,10
0604641A,10
0603712S,9
0602146A,8
0306250M,6
0602602F,6
0208088F,5
0602336F,5
0604112N,5
0602135A,4
0603881C,4
0604414F,4
0604735F,4
0605038A,4
1206415F,4
0602184A,3
0603128N,3
0603208N,3
0603273N,3
0603308A,3
0605126J,3
1206895C,3
0601101E,2
0603216N,2
0603609N,2
0603801A,2
0604113A,2
0708610F,2
0305282K,1
0601601A,1
0603178N,1
0603914C,1
0604011K,1
0604518N,1
0604807A,1
0605414N,1
0606002A,1
0804768J,1
(61 rows)
